origin,destination,estimate
Wisconsin,District of Columbia,303.0
Wyoming,District of Columbia,0.0
Puerto Rico,District of Columbia,226.0
U.S. Island Area3,District of Columbia,0.0
Foreign Country,District of Columbia,12382.0
Alabama,Florida,13789.0
Alaska,Florida,2280.0
Arizona,Florida,8361.0
Arkansas,Florida,4025.0
California,Florida,39052.0
Colorado,Florida,13264.0
Connecticut,Florida,15743.0
Delaware,Florida,1739.0
District of Columbia,Florida,1691.0
Georgia,Florida,44469.0
Hawaii,Florida,3294.0
Idaho,Florida,913.0
Illinois,Florida,27109.0
Indiana,Florida,14939.0
Iowa,Florida,4367.0
Kansas,Florida,5297.0
Kentucky,Florida,9814.0
Louisiana,Florida,6194.0
Maine,Florida,3831.0
Maryland,Florida,17439.0
Massachusetts,Florida,24002.0
Michigan,Florida,26512.0
Minnesota,Florida,8274.0
Mississippi,Florida,4750.0
Missouri,Florida,7814.0
Montana,Florida,1030.0
Nebraska,Florida,1317.0
Nevada,Florida,5632.0
New Hampshire,Florida,5012.0
New Jersey,Florida,33226.0
New Mexico,Florida,2416.0
New York,Florida,71138.0
North Carolina,Florida,25290.0
North Dakota,Florida,1189.0
Ohio,Florida,18543.0
Oklahoma,Florida,5488.0
Oregon,Florida,2310.0
Pennsylvania,Florida,27770.0
Rhode Island,Florida,3400.0
South Carolina,Florida,14066.0
South Dakota,Florida,555.0
Tennessee,Florida,15663.0
Texas,Florida,37781.0
Utah,Florida,3733.0
Vermont,Florida,1739.0
Virginia,Florida,28226.0
Washington,Florida,9009.0
West Virginia,Florida,4044.0
Wisconsin,Florida,9232.0
Wyoming,Florida,162.0
Puerto Rico,Florida,12534.0
U.S. Island Area3,Florida,1505.0
Foreign Country,Florida,289829.0
Alabama,Georgia,17506.0
Alaska,Georgia,1028.0
Arizona,Georgia,2706.0
Arkansas,Georgia,2912.0
California,Georgia,20191.0
Colorado,Georgia,5154.0
Connecticut,Georgia,3380.0
Delaware,Georgia,747.0
District of Columbia,Georgia,1475.0
Florida,Georgia,55250.0
Hawaii,Georgia,482.0
Idaho,Georgia,2056.0
Illinois,Georgia,9133.0
Indiana,Georgia,3422.0
Iowa,Georgia,1482.0
Kansas,Georgia,3418.0
Kentucky,Georgia,2671.0
Louisiana,Georgia,6264.0
Maine,Georgia,1141.0
Maryland,Georgia,6244.0
Massachusetts,Georgia,1739.0
Michigan,Georgia,3945.0
Minnesota,Georgia,2803.0
Mississippi,Georgia,3070.0
Missouri,Georgia,3814.0
Montana,Georgia,237.0
Nebraska,Georgia,506.0
Nevada,Georgia,2822.0
New Hampshire,Georgia,670.0
New Jersey,Georgia,6339.0
New Mexico,Georgia,2936.0
New York,Georgia,21998.0
North Carolina,Georgia,17310.0
North Dakota,Georgia,57.0
Ohio,Georgia,7590.0
Oklahoma,Georgia,2067.0
Oregon,Georgia,1060.0
Pennsylvania,Georgia,8763.0
Rhode Island,Georgia,1508.0
South Carolina,Georgia,16635.0
South Dakota,Georgia,771.0
Tennessee,Georgia,17332.0
Texas,Georgia,20923.0
Utah,Georgia,2184.0
Vermont,Georgia,0.0
Virginia,Georgia,6866.0
Washington,Georgia,6050.0
West Virginia,Georgia,1146.0
Wisconsin,Georgia,2649.0
Wyoming,Georgia,0.0
Puerto Rico,Georgia,1667.0
U.S. Island Area3,Georgia,307.0
Foreign Country,Georgia,61349.0
Alabama,Hawaii,346.0
Alaska,Hawaii,1135.0
Arizona,Hawaii,1932.0
Arkansas,Hawaii,152.0
California,Hawaii,11200.0
Colorado,Hawaii,3359.0
Connecticut,Hawaii,702.0
Delaware,Hawaii,277.0
District of Columbia,Hawaii,773.0
Florida,Hawaii,2061.0
Georgia,Hawaii,1276.0
Idaho,Hawaii,1042.0
Illinois,Hawaii,907.0
Indiana,Hawaii,0.0
Iowa,Hawaii,0.0
Kansas,Hawaii,243.0
Kentucky,Hawaii,489.0
Louisiana,Hawaii,1150.0
Maine,Hawaii,0.0
Maryland,Hawaii,2699.0
Massachusetts,Hawaii,182.0
Michigan,Hawaii,463.0
Minnesota,Hawaii,893.0
Mississippi,Hawaii,0.0
Missouri,Hawaii,996.0
Montana,Hawaii,111.0
Nebraska,Hawaii,0.0
Nevada,Hawaii,1393.0
New Hampshire,Hawaii,70.0
New Jersey,Hawaii,59.0
New Mexico,Hawaii,986.0
New York,Hawaii,1776.0
North Carolina,Hawaii,2816.0
North Dakota,Hawaii,0.0
Ohio,Hawaii,674.0
Oklahoma,Hawaii,177.0
Oregon,Hawaii,1443.0
Pennsylvania,Hawaii,498.0
Rhode Island,Hawaii,59.0
South Carolina,Hawaii,820.0
South Dakota,Hawaii,99.0
Tennessee,Hawaii,968.0
Texas,Hawaii,3742.0
Utah,Hawaii,1884.0
Vermont,Hawaii,0.0
Virginia,Hawaii,3388.0
Washington,Hawaii,4092.0
West Virginia,Hawaii,0.0
Wisconsin,Hawaii,1149.0
Wyoming,Hawaii,58.0
Puerto Rico,Hawaii,29.0
U.S. Island Area3,Hawaii,843.0
Foreign Country,Hawaii,12736.0
Alabama,Idaho,380.0
Alaska,Idaho,1117.0
Arizona,Idaho,4026.0
Arkansas,Idaho,533.0
California,Idaho,17338.0
Colorado,Idaho,1851.0
Connecticut,Idaho,436.0
Delaware,Idaho,0.0
District of Columbia,Idaho,0.0
Florida,Idaho,921.0
Georgia,Idaho,78.0
Hawaii,Idaho,1089.0
Illinois,Idaho,571.0
Indiana,Idaho,830.0
Iowa,Idaho,479.0
Kansas,Idaho,1229.0
Kentucky,Idaho,434.0
Louisiana,Idaho,0.0
Maine,Idaho,43.0
Maryland,Idaho,111.0
Massachusetts,Idaho,260.0
Michigan,Idaho,404.0
Minnesota,Idaho,485.0
Mississippi,Idaho,136.0
Missouri,Idaho,349.0
Montana,Idaho,2754.0
Nebraska,Idaho,324.0
Nevada,Idaho,2025.0
New Hampshire,Idaho,0.0
New Jersey,Idaho,780.0
New Mexico,Idaho,1566.0
New York,Idaho,77.0
North Carolina,Idaho,1187.0
North Dakota,Idaho,256.0
Ohio,Idaho,703.0
Oklahoma,Idaho,670.0
Oregon,Idaho,7458.0
Pennsylvania,Idaho,394.0
Rhode Island,Idaho,113.0
South Carolina,Idaho,97.0
South Dakota,Idaho,388.0
Tennessee,Idaho,369.0
Texas,Idaho,5526.0
Utah,Idaho,5537.0
Vermont,Idaho,0.0
Virginia,Idaho,1290.0
Washington,Idaho,14655.0
West Virginia,Idaho,395.0
Wisconsin,Idaho,229.0
Wyoming,Idaho,1815.0
Puerto Rico,Idaho,41.0
U.S. Island Area3,Idaho,66.0
Foreign Country,Idaho,9293.0
Alabama,Illinois,1375.0
Alaska,Illinois,30.0
Arizona,Illinois,4417.0
Arkansas,Illinois,2189.0
California,Illinois,16460.0
Colorado,Illinois,5827.0
Connecticut,Illinois,863.0
Delaware,Illinois,60.0
District of Columbia,Illinois,1790.0
Florida,Illinois,19100.0
Georgia,Illinois,4895.0
Hawaii,Illinois,1168.0
Idaho,Illinois,354.0
Indiana,Illinois,11555.0
Iowa,Illinois,8326.0
Kansas,Illinois,1468.0
Kentucky,Illinois,3162.0
Louisiana,Illinois,1497.0
Maine,Illinois,265.0
Maryland,Illinois,2512.0
Massachusetts,Illinois,1938.0
Michigan,Illinois,10345.0
Minnesota,Illinois,3641.0
Mississippi,Illinois,1894.0
Missouri,Illinois,14982.0
Montana,Illinois,224.0
Nebraska,Illinois,1229.0
Nevada,Illinois,2181.0
New Hampshire,Illinois,524.0
New Jersey,Illinois,2755.0
New Mexico,Illinois,1096.0
New York,Illinois,8394.0
North Carolina,Illinois,5531.0
North Dakota,Illinois,252.0
Ohio,Illinois,4914.0
Oklahoma,Illinois,2408.0
Oregon,Illinois,3381.0
Pennsylvania,Illinois,3394.0
Rhode Island,Illinois,170.0
South Carolina,Illinois,2084.0
South Dakota,Illinois,140.0
Tennessee,Illinois,4005.0
Texas,Illinois,15227.0
Utah,Illinois,1496.0
Vermont,Illinois,1057.0
Virginia,Illinois,4876.0
Washington,Illinois,3100.0
West Virginia,Illinois,968.0
Wisconsin,Illinois,14135.0
Wyoming,Illinois,104.0
Puerto Rico,Illinois,1354.0
U.S. Island Area3,Illinois,0.0
Foreign Country,Illinois,96508.0
